time,gamma,concurrence
39.25,0.001,0.9808159868191383
39.5,0.001,0.9803060746521975
39.75,0.001,0.9803060746521975
40.0,0.001,0.9803060746521975
40.25,0.001,0.9803060746521975
40.5,0.001,0.9797958971132712
40.75,0.001,0.9797958971132712
41.0,0.001,0.9797958971132712
41.25,0.001,0.9797958971132712
41.5,0.001,0.9792854537876073
41.75,0.001,0.9792854537876073
42.0,0.001,0.9792854537876073
42.25,0.001,0.9792854537876073
42.5,0.001,0.9787747442593725
42.75,0.001,0.9787747442593725
43.0,0.001,0.9787747442593725
43.25,0.001,0.9787747442593725
43.5,0.001,0.9782637681116478
43.75,0.001,0.9782637681116478
44.0,0.001,0.9782637681116478
44.25,0.001,0.9782637681116478
44.5,0.001,0.9777525249264253
44.75,0.001,0.9777525249264253
45.0,0.001,0.9777525249264253
45.25,0.001,0.9777525249264253
45.5,0.001,0.9777525249264253
45.75,0.001,0.9772410142846032
46.0,0.001,0.9772410142846032
46.25,0.001,0.9772410142846032
46.5,0.001,0.9772410142846032
46.75,0.001,0.9767292357659824
47.0,0.001,0.9767292357659824
47.25,0.001,0.9767292357659824
47.5,0.001,0.9767292357659824
47.75,0.001,0.9762171889492625
48.0,0.001,0.9762171889492625
48.25,0.001,0.9762171889492625
48.5,0.001,0.9762171889492625
48.75,0.001,0.9757048734120374
49.0,0.001,0.9757048734120374
49.25,0.001,0.9757048734120374
49.5,0.001,0.9757048734120374
49.75,0.001,0.9751922887307918
50.0,0.001,0.9751922887307918
50.25,0.001,0.9751922887307918
50.5,0.001,0.9751922887307918
50.75,0.001,0.9751922887307918
51.0,0.001,0.9746794344808963
51.25,0.001,0.9746794344808963
51.5,0.001,0.9746794344808963
51.75,0.001,0.9746794344808963
52.0,0.001,0.9741663102366043
52.25,0.001,0.9741663102366043
52.5,0.001,0.9741663102366043
52.75,0.001,0.9741663102366043
53.0,0.001,0.9736529155710468
53.25,0.001,0.9736529155710468
53.5,0.001,0.9736529155710468
53.75,0.001,0.9736529155710468
54.0,0.001,0.973139250056229
54.25,0.001,0.973139250056229
54.5,0.001,0.973139250056229
54.75,0.001,0.973139250056229
55.0,0.001,0.9726253132630263
55.25,0.001,0.9726253132630263
55.5,0.001,0.9726253132630263
55.75,0.001,0.9726253132630263
56.0,0.001,0.9726253132630263
56.25,0.001,0.972111104761179
56.5,0.001,0.972111104761179
56.75,0.001,0.972111104761179
57.0,0.001,0.972111104761179
57.25,0.001,0.9715966241192895
57.5,0.001,0.9715966241192895
57.75,0.001,0.9715966241192895
58.0,0.001,0.9715966241192895
58.25,0.001,0.9710818709048171
58.5,0.001,0.9710818709048171
58.75,0.001,0.9710818709048171
59.0,0.001,0.9710818709048171
59.25,0.001,0.9705668446840743
59.5,0.001,0.9705668446840743
59.75,0.001,0.9705668446840743
60.0,0.001,0.9705668446840743
60.25,0.001,0.9705668446840743
60.5,0.001,0.970051545022222
60.75,0.001,0.970051545022222
61.0,0.001,0.970051545022222
61.25,0.001,0.970051545022222
61.5,0.001,0.9695359714832658
61.75,0.001,0.9695359714832658
62.0,0.001,0.9695359714832658
62.25,0.001,0.9695359714832658
62.5,0.001,0.9690201236300513
62.75,0.001,0.9690201236300513
63.0,0.001,0.9690201236300513
63.25,0.001,0.9690201236300513
63.5,0.001,0.96850400102426
63.75,0.001,0.96850400102426
64.0,0.001,0.96850400102426
64.25,0.001,0.96850400102426
64.5,0.001,0.96850400102426
64.75,0.001,0.967987603226405
65.0,0.001,0.967987603226405
65.25,0.001,0.967987603226405
65.5,0.001,0.967987603226405
65.75,0.001,0.9674709297958259
66.0,0.001,0.9674709297958259
66.25,0.001,0.9674709297958259
66.5,0.001,0.9674709297958259
66.75,0.001,0.9669539802906858
67.0,0.001,0.9669539802906858
67.25,0.001,0.9669539802906858
67.5,0.001,0.9669539802906858
67.75,0.001,0.9664367542679656
68.0,0.001,0.9664367542679656
68.25,0.001,0.9664367542679656
68.5,0.001,0.9664367542679656
68.75,0.001,0.9664367542679656
69.0,0.001,0.96591925128346
69.25,0.001,0.96591925128346
69.5,0.001,0.96591925128346
69.75,0.001,0.96591925128346
70.0,0.001,0.9654014708917736
70.25,0.001,0.9654014708917736
70.5,0.001,0.9654014708917736
70.75,0.001,0.9654014708917736
71.0,0.001,0.9648834126463155
71.25,0.001,0.9648834126463155
71.5,0.001,0.9648834126463155
71.75,0.001,0.9648834126463155
72.0,0.001,0.9648834126463155
72.25,0.001,0.9643650760992956
72.5,0.001,0.9643650760992956
72.75,0.001,0.9643650760992956
73.0,0.001,0.9643650760992956
73.25,0.001,0.9638464608017192
73.5,0.001,0.9638464608017192
73.75,0.001,0.9638464608017192
74.0,0.001,0.9638464608017192
74.25,0.001,0.9633275663033837
74.5,0.001,0.9633275663033837
74.75,0.001,0.9633275663033837
75.0,0.001,0.9633275663033837
75.25,0.001,0.9633275663033837
75.5,0.001,0.9628083921528727
75.75,0.001,0.9628083921528727
76.0,0.001,0.9628083921528727
76.25,0.001,0.9628083921528727
76.5,0.001,0.9622889378975527
76.75,0.001,0.9622889378975527
77.0,0.001,0.9622889378975527
77.25,0.001,0.9622889378975527
77.5,0.001,0.9617692030835673
77.75,0.001,0.9617692030835673
78.0,0.001,0.9617692030835673
78.25,0.001,0.9617692030835673
78.5,0.001,0.9617692030835673
78.75,0.001,0.9612491872558333
79.0,0.001,0.9612491872558333
79.25,0.001,0.9612491872558333
79.5,0.001,0.9612491872558333
79.75,0.001,0.960728889958036
80.0,0.001,0.960728889958036
80.25,0.001,0.960728889958036
80.5,0.001,0.960728889958036
80.75,0.001,0.9602083107326244
81.0,0.001,0.9602083107326244
81.25,0.001,0.9602083107326244
81.5,0.001,0.9602083107326244
81.75,0.001,0.9602083107326244
82.0,0.001,0.9596874491208063
82.25,0.001,0.9596874491208063
82.5,0.001,0.9596874491208063
82.75,0.001,0.9596874491208063
83.0,0.001,0.9591663046625439
83.25,0.001,0.9591663046625439
83.5,0.001,0.9591663046625439
83.75,0.001,0.9591663046625439
84.0,0.001,0.9586448768965492
84.25,0.001,0.9586448768965492
84.5,0.001,0.9586448768965492
84.75,0.001,0.9586448768965492
85.0,0.001,0.9586448768965492
85.25,0.001,0.9581231653602788
85.5,0.001,0.9581231653602788
85.75,0.001,0.9581231653602788
86.0,0.001,0.9581231653602788
86.25,0.001,0.957601169589929
86.5,0.001,0.957601169589929
86.75,0.001,0.957601169589929
87.0,0.001,0.957601169589929
87.25,0.001,0.9570788891204319
87.5,0.001,0.9570788891204319
87.75,0.001,0.9570788891204319
88.0,0.001,0.9570788891204319
88.25,0.001,0.9570788891204319
88.5,0.001,0.9565563234854496
88.75,0.001,0.9565563234854496
89.0,0.001,0.9565563234854496
89.25,0.001,0.9565563234854496
89.5,0.001,0.9560334722173696
89.75,0.001,0.9560334722173696
90.0,0.001,0.9560334722173696
90.25,0.001,0.9560334722173696
90.5,0.001,0.9555103348473003
90.75,0.001,0.9555103348473003
91.0,0.001,0.9555103348473003
91.25,0.001,0.9555103348473003
91.5,0.001,0.9555103348473003
91.75,0.001,0.9549869109050658
92.0,0.001,0.9549869109050658
92.25,0.001,0.9549869109050658
